"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
91303,140,4156
,,
91304,"5,910","52,428"
91304,150,215
91304,580,873
91304,860,2407
91304,990,4376
91304,2310,18272
91304,1020,26285
,,
91306,"5,220","30,259"
91306,160,217
91306,690,1048
91306,1010,2724
91306,1070,4536
91306,1960,14776
91306,330,6958
,,
91307,"5,050","68,287"
91307,100,241
91307,250,515
91307,540,1609
91307,690,3191
91307,2220,18411
91307,1250,44320
,,
91311,"6,660","94,269"
91311,160,374
91311,570,1081
91311,940,2809
91311,1130,5155
91311,2610,21597
91311,1250,63253
,,
91316,"5,210","137,743"
91316,150,514
91316,400,916
91316,590,2396
91316,680,3795
91316,1700,15703
91316,1690,114419
,,
91320,"9,220","136,980"
91320,150,328
91320,390,691
91320,720,2158
91320,1140,5405
91320,3970,32881
91320,2850,95517
,,
91321,"4,280","40,348"
91321,100,117
91321,440,871
91321,680,1949
91321,800,3655
91321,1610,12751
91321,650,21005
,,
91324,"3,710","48,541"
91324,100,216
91324,310,521
91324,550,1588
91324,650,3419
91324,1470,12192
91324,630,30605
,,
91325,"4,390","49,485"
91325,80,170
91325,390,649
91325,640,1819
91325,690,3405
91325,1740,14020
91325,850,29422
,,
91326,"7,550","100,903"
91326,120,364
91326,360,707
91326,680,2148
91326,910,4379
91326,3240,26985
91326,2240,66320
,,
91331,"6,630","24,652"
91331,290,247
91331,1770,2338
91331,1900,4650
91331,1360,5303
91331,1220,8104
91331,90,4010
,,
91335,"7,080","39,582"
91335,250,440
91335,1130,1627
91335,1550,4220
91335,1430,6191
91335,2300,17603
91335,420,9501
,,
91340,"2,510","9,905"
91340,80,63
91340,580,865
91340,700,1796
91340,570,2302
91340,520,3486
91340,60,1393
,,
91342,"10,080","52,840"
91342,340,376
91342,1570,2214
91342,2280,6261
91342,2110,8766
91342,3310,23712
91342,470,11511
,,
91343,"6,130","38,864"
91343,160,160
91343,850,1279
91343,1150,3131
91343,1220,5123
91343,2310,17529
91343,440,11642
,,
91344,"8,780","82,689"
91344,180,368
91344,710,1280
91344,1260,3707
91344,1480,6530
91344,3770,29956
91344,1380,40848
,,
91345,"2,260","10,720"
91345,80,73
91345,330,489
91345,520,1396
91345,520,2066
91345,730,5081
91345,80,1615
,,
91350,"8,350","73,650"
91350,110,196
91350,430,839
91350,960,2776
91350,1360,5987
91350,4230,32657
91350,1260,31195
,,
91351,"4,960","29,290"
91351,110,153
91351,510,744
91351,880,2385
91351,1010,4174
91351,2140,15821
91351,310,6013
,,
91352,"3,700","21,524"
91352,180,208
91352,760,1058
91352,820,2072
91352,710,3060
91352,1000,7149
91352,230,7977
,,
91354,"7,550","77,714"
91354,100,154
91354,320,672
91354,660,1996
91354,1080,4747
91354,3780,30849
91354,1610,39296
,,
91355,"6,800","78,275"
91355,110,188
91355,360,669
91355,790,2424
91355,1110,5105
91355,3060,24952
91355,1370,44937
,,
91356,"5,250","120,997"
91356,140,433
91356,390,976
91356,560,2224
91356,680,3340
91356,1610,14705
91356,1870,99319
,,
91360,"7,780","90,086"
91360,140,310
91360,420,741
91360,800,2401
91360,1120,5013
91360,3440,28214
91360,1860,53407
,,
91361,"4,990","223,112"
91361,80,327
91361,160,509
91361,330,1423
91361,460,2401
91361,1660,15058
91361,2300,203394
,,
91362,"8,110","253,308"
91362,170,750
91362,380,890
91362,650,2353
91362,910,4579
91362,2870,25204
91362,3130,219532
,,
91364,"5,950","176,674"
91364,120,244
91364,320,784
91364,520,2123
91364,680,3750
91364,2300,21302
91364,2010,148471
,,
